Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR,Close_Lag1,Close_Lag3,Close_Lag5,Daily_Return,Volatility_20,High_Low_Pct,Open_Close_Pct
2015-03-16,-0.8961866116945508,-0.90062297671339,-0.9007210221078662,-0.9005687359834962,0.22668142433146493,-0.8891171984980483,-0.8766023320880559,-0.9033657248657356,-0.8910985162166031,-0.8880439257543312,-1.2767842066935726,-0.09115014511968814,0.04833694487582031,-0.4451231080220282,-0.8820235324256296,-0.8683987296612947,-0.8138678900598868,-0.7298526069845128,-0.9014571244180232,-0.9057587842273106,-0.8816123092666571,0.5310397661048379,-0.4020092552535629,-0.3059871503782241,0.5504685066897238
2015-03-17,-0.88667138493754,-0.8899700211691927,-0.8878887588258461,-0.8913683678510171,1.1583543552145863,-0.8901750795099347,-0.8767827492214517,-0.9016967061529976,-0.8897687950307004,-0.8873215034806384,-0.5558155920411769,-0.08598114276805009,0.019162563971068098,-0.3392908223097051,-0.8821592041391568,-0.8686302009260609,-0.8134472566085091,-0.7463989474959712,-0.8952641492212087,-0.8956925410992524,-0.8935941713134822,0.8339419632214765,-0.34353638023546135,-0.586588816948001,0.5794251128602128
2015-03-18,-0.8801608186397591,-0.8816991942470469,-0.8845651869152709,-0.8863581452722501,2.0346144936173998,-0.8902069997328751,-0.876839834299457,-0.8996138418557622,-0.8874946830027657,-0.886045072082346,-0.5874006407052318,-0.06923259119317947,-0.000587921206942733,-0.2243641926902147,-0.8822501679450178,-0.8686481956270798,-0.8139302009780903,-0.7611394695833702,-0.8857472605624891,-0.8996097264563603,-0.9039359543450916,0.5443860029339265,-0.3258158188038648,0.09125690781455749,0.754242938182715
2015-03-19,-0.8845770501340934,-0.8812946763726629,-0.8798107531741823,-0.878387441681059,0.8377104763296422,-0.8897099814055285,-0.8770567814947806,-0.8976211419502655,-0.8864386379223649,-0.8853126693884789,-0.45136355273876505,-0.06730978853781637,-0.015976275133619527,-0.1711669739167614,-0.8825051477858629,-0.8688209161704236,-0.8146021594228807,-0.7659527653982033,-0.8792355571482178,-0.8934150341538757,-0.893867491763168,-0.4511475066954991,-0.3144645352844474,-0.49168223584780585,-0.7222355730325091
2015-03-20,-0.8918616861368627,-0.8851155972793561,-0.8901506926268813,-0.8806649605155166,2.2452077056163686,-0.8900291797236193,-0.8778789214111511,-0.895912212493536,-0.8869017869210483,-0.8853468793312891,-0.7676665188221511,-0.08324790835271377,-0.03170231173302659,-0.17528509370321707,-0.8833775103382581,-0.8695834510214434,-0.8159443303814589,-0.7533180289850007,-0.8836525599686438,-0.8838955067790367,-0.8977855408002081,-0.7157605793304639,-0.3016950829975426,0.3850660798391024,-1.3198624402141164
2015-03-23,-0.8858974714445904,-0.8875877460703975,-0.8838729390684915,-0.8858116882750353,0.33956115720422586,-0.8899972634119916,-0.8792012046544809,-0.8944621697455878,-0.8861941083332064,-0.8848072848119285,-0.6008269416149447,-0.08425280817572696,-0.044498479341376275,-0.13955465078104035,-0.8874475464640246,-0.8677427170842449,-0.8523052064774255,-0.7481036426220137,-0.890938468284657,-0.8773819978863806,-0.8915894826620685,0.4993259948080846,-0.45789451447843227,-0.8009380023828121,0.0003899031502004767
2015-03-24,-0.888264903944772,-0.8867337191934926,-0.8836882897484345,-0.8853106629715378,0.04020907494157107,-0.8890032306686112,-0.88045268837517,-0.8930709682940523,-0.886046420472769,-0.8845455526483618,-0.5633063440078262,-0.09162308524900957,-0.056314777969261764,-0.12760491760711687,-0.8912524503224224,-0.8660548345950957,-0.8861137774870003,-0.7456969631281316,-0.8849732119000696,-0.8818002253945129,-0.8820678563758919,-0.26784861304531254,-0.4610929647205771,-0.7097704522283532,-0.3431568502970391
2015-03-25,-0.9033346012164284,-0.8922174701035879,-0.8983670010335826,-0.8884533299000353,1.1972294119590956,-0.8884834132995393,-0.8816881715839636,-0.8917313700793844,-0.8886711290611173,-0.8857503388418624,-0.7047849273397805,-0.13145578597589372,-0.07430350073840222,-0.2028790848629659,-0.8916748507624321,-0.8682226267981662,-0.8767356140301209,-0.7411844893961771,-0.8873410578890958,-0.8890881538501333,-0.8755529113533604,-1.4344736132519027,-0.4547452371412113,0.5389286887353621,-1.781101386437653
2015-03-26,-0.8994191855183088,-0.900937714349938,-0.9019674465988742,-0.9056700637729085,0.9461621059187381,-0.8885791700570478,-0.8830994997916324,-0.890401544152721,-0.8901052693685684,-0.8864658285285268,-0.6068039381723119,-0.15507728272778454,-0.09375629060736072,-0.22073372822891602,-0.8941500283822272,-0.8684073073019639,-0.8915771646958793,-0.7495073527429892,-0.9024133871900549,-0.8831212434987147,-0.8799721130136164,0.31750502593554314,-0.4879548564564405,-0.1772674097179643,0.7876244149276337
2015-03-27,-0.9039262933661826,-0.9017466592216163,-0.9005363181105045,-0.8974259239371085,0.4525085416549317,-0.8887341871132656,-0.8842893165051631,-0.8891243095831466,-0.8920998056647268,-0.8875443335277978,-0.7926665314344611,-0.1840023168791184,-0.11551682045490493,-0.2488771612068948,-0.8949198668727877,-0.8700774465641609,-0.887201527559545,-0.77678262815283,-0.8984972876368675,-0.8854897460125363,-0.8872616483468748,-0.47325996417990246,-0.5206525645849984,-0.48842183533704187,-0.7838177303592447
2015-03-30,-0.8897217764711123,-0.8941054106535131,-0.8955051470769547,-0.8997945719470491,0.9170596271155397,-0.888086708408996,-0.8849104862309872,-0.8872869023990955,-0.8911437818685531,-0.8871612968275678,-0.07634293811230661,-0.1761554912839097,-0.13124376099345728,-0.1752961174541544,-0.8965612941909457,-0.869523876061374,-0.9008130992732057,-0.7794905365722928,-0.9030051826830315,-0.9005662543681958,-0.8812934223822652,1.288520365461396,-0.35923337824734525,-0.11881057064227589,1.2486780926038066
