Date,Close,High,Low,Open,Volume,SMA10_Ratio,SMA20_Ratio,SMA50_Ratio,EMA10_Ratio,EMA20_Ratio,RSI,MACD_Norm,MACD_Signal_Norm,MACD_Hist_Norm,BB_Position,BB_Width_Pct,ATR_Pct,Return_1d,Return_3d,Return_5d,Return_10d,Return_20d,Volatility_20d,High_Low_Pct,Open_Close_Pct,Volume_Ratio,Volume_Change,Market_Return,Market_Volatility,Relative_Strength,Relative_Strength_5d,Day_Sin,Day_Cos,Target,Ticker
2015-03-16,27.783695220947266,27.783695220947266,27.32119080820845,27.54577168246317,143497200,-0.006591024688691882,-0.02161921361988539,0.045988435546890916,-0.003881695390180351,-0.0034397284822894614,32.710575624657736,0.007757931141571879,0.016891432820494233,-0.009133501678922355,0.25071978307679754,0.08672655169642171,0.022934875650660474,0.011004220679078802,0.022169537187087807,-0.017225108028839364,-0.032070727542144906,-0.01676141537300968,0.21766494096899286,0.01692841340575318,0.008637388751594467,0.6122427037165351,-0.3078107483893624,0.015131749615107815,0.134728214432073,-0.004127528936029013,-0.006142378539976564,0.0,1.0,0.01808740206573134,AAPL
2015-03-17,28.248430252075195,28.31069037432514,27.93935200486218,27.994941642079787,204092400,0.011892042351262289,-0.004946183020129613,0.06026449530767053,0.01043234608418575,0.011954605887256387,45.53340961008215,0.007958906643482196,0.014882613198413976,-0.006923706554931778,0.4430647648268182,0.08687384894581869,0.021629860273650256,0.01672689782378356,0.020811641831577132,0.020319639201657136,-0.017934224202668658,-0.006179940437817666,0.22531353079737548,0.013290872651532457,0.009054800443462394,0.87988406653844,0.42227444159189176,0.0008266547059903928,0.1344577854313186,0.015900243117793166,0.0122790035293642,0.9510565162951535,0.30901699437494745,-0.002755309762865865,AAPL
2015-03-18,28.5664005279541,28.71982845602437,28.09944795575962,28.23953321847968,261083600,0.023339179279165956,0.006352878368287795,0.06816285445510362,0.017770804289903852,0.021075152533893915,44.97162984400617,0.008923152715802372,0.013558195378327207,-0.004635042662524835,0.5732370855431997,0.08674400846467967,0.02057179227093401,0.011256210452810889,0.03948561462754174,0.050965473618677315,-0.0005446713597025976,-0.0019421351158007694,0.22763105402051223,0.022078031612631388,0.011574812761441969,1.1061477972379563,0.2792421471843145,0.017028153452121185,0.14852391124425945,-0.005771942999310296,0.02242068620942255,0.5877852522924732,-0.8090169943749473,-0.039620228882632835,AAPL
2015-03-19,28.3507137298584,28.7398411732094,28.328478215244832,28.62866190368054,183238000,0.014731574919088608,-0.0008737047119521391,0.05629364108163637,0.008237289724809083,0.012077367152367957,47.391242122026256,0.009112832662796663,0.012751641357385218,-0.003638808694588556,0.4899091377067416,0.08658375137433763,0.020459388950588155,-0.007550366658362839,0.020408318778404766,0.02450785305309977,0.008622522964510049,-0.00739568045729444,0.22911570678461468,0.014521180941629044,-0.009708737864077725,0.7708176460442792,-0.29816350012026804,-0.009432909557413471,0.14646067834715265,0.0018825428990506318,0.007950541421523342,-0.587785252292473,-0.8090169943749475,-0.025568525274491494,AAPL
2015-03-20,27.99494361877441,28.550838333740565,27.830398756001053,28.517485906223897,274780400,0.002556340858252737,-0.012018067895254614,0.039838207229665246,-0.0036151530054149283,-0.0005637768392772191,41.76566007438835,0.008206334636869598,0.011972222077906297,-0.0037658874410366997,0.3607744650976895,0.08632085991759536,0.02143424455141381,-0.012548894340860928,-0.008973476792826895,0.018691211920399242,-0.005529161899525015,-0.027798986785340207,0.23078559715553135,0.02588678603047914,-0.018323574846948274,1.1370144719825526,0.4995819644396904,0.006031768238933255,0.1440288778098226,-0.018580662579794183,-0.010894204534339931,-0.9510565162951536,0.30901699437494723,-0.021048532190243607,AAPL
2015-03-23,28.286230087280277,28.42853941926363,28.13280214954841,28.266218632686236,150838800,0.012931427367942838,0.0005348631320034603,0.04792962789180022,0.005517752125658859,0.008890299157104042,44.73301980759779,0.008058044340378417,0.011090756312701703,-0.003032711972323287,0.5070320923474012,0.07606031115350564,0.021505486451441968,0.010404967142370714,-0.009807691396039209,0.01808740206573134,0.0005507365823487209,-0.04353360582388077,0.21035618426772448,0.010512186739989044,0.000707963624497696,0.6418250101503961,-0.45105691672331794,0.001915462410582669,0.1428199209014892,0.008489504731788045,0.0017182728155173133,0.0,1.0,-0.006603178353583039,AAPL
2015-03-24,28.170597076416016,28.470778996147452,28.14168938756052,28.29067086218496,131369200,0.007042544743213863,-0.0014032275199812316,0.04105231130562892,0.0011510792288276228,0.004310134115390607,45.400211480607354,0.007621292760940366,0.010433283349981216,-0.002811990589040849,0.4788926136231755,0.06648040145424623,0.021729077175924993,-0.004087961191981515,-0.00635316116407636,-0.002755309762865865,0.01750834253852096,-0.04146195375538486,0.2099379570957045,0.01169402462143588,-0.004244289092820441,0.5768428059751038,-0.12907554289745082,0.00522425426021429,0.14363172421048656,-0.009312215452195804,-0.02352203856730379,0.9510565162951535,0.30901699437494745,-0.01783857902898034,AAPL
2015-03-25,27.434593200683597,28.19950704158356,27.434593200683597,28.13724692829372,206620800,-0.02015603560356194,-0.02541527790906528,0.011432930490967719,-0.020552621815199568,-0.019882178460898015,42.883889849588364,0.005218505150204244,0.009614247545134128,-0.004395742394929884,0.13342197616246987,0.06933115532405602,0.0225725371909572,-0.026126669368630062,-0.02001612954544485,-0.039620228882632835,0.009325981006160777,-0.04200654201773135,0.2107688807114148,0.027881362603215182,-0.024972369521467353,0.9260232961497263,0.5728252893372268,-0.02461876882405869,0.1677252482569502,-0.0015079005445713736,-0.018740035410890886,0.5877852522924732,-0.8090169943749473,0.007051558897379628,AAPL
2015-03-26,27.62582778930664,27.768137135955826,27.26115987646045,27.296738061353363,190291600,-0.01316140226905238,-0.016220667183847626,0.01607541873565399,-0.011257902453752355,-0.011822021127596227,44.62662034559557,0.0036469540172957685,0.008367546585593513,-0.004720592568297744,0.25122991764129554,0.0652034482203484,0.02193909945357035,0.006970564032940718,-0.023347130244500303,-0.025568525274491494,-0.0016873018816034868,-0.047385185990510226,0.20642548009083944,0.0185970538961969,0.012056009300950214,0.8876200135756349,-0.07902979758088247,-0.006947465525486885,0.162858993826937,0.013918029558427603,-0.007173775834676131,-0.587785252292473,-0.8090169943749475,0.008692830448173705,AAPL
2015-03-27,27.405691146850582,27.728110364111448,27.33009005453991,27.699204363485794,158184800,-0.020760606414294114,-0.02204264647447529,0.005695313177872752,-0.015711970053688074,-0.017853976381052572,41.32093071680074,0.0017809504309563102,0.007103997313645089,-0.0053230468826887785,0.16906843434742275,0.066607869306781,0.02053896187854113,-0.00796850846008923,-0.027152634624340255,-0.021048532190243607,-0.002750742845625709,-0.04055747590555425,0.20214864745664113,0.014563446691073826,-0.0105964493702979,0.7536544317709494,-0.16872421063252396,-0.008854192587100296,0.16283839141019268,0.000885684127011066,0.01223217807560531,-0.9510565162951536,0.30901699437494723,0.033265743233015455,AAPL
2015-03-30,28.09945106506348,28.10612155024622,27.57246068163208,27.58357928791074,188398800,0.002896794267850833,0.0037970178833401924,0.02780430797357769,0.0075185656255185584,0.0063368006180877234,54.061119341348,0.002238455595705414,0.0059905739558204045,-0.003752118360114991,0.5605331159232458,0.0627262916410034,0.019879256697013136,0.025314447079457292,0.024234289151527033,-0.006603178353583039,0.011364789370355455,-0.021070415235260098,0.2232620478632275,0.01935485101515247,0.01870213331519431,0.8984593327246916,0.1910044454334423,0.014498523336849667,0.17277085599859998,0.010815923742607625,0.014094470985998878,0.0,1.0,-0.0028487249532572756,AAPL
