Date,Close,High,Low,Open,Volume,Ticker
2015-01-02,24.214893341064453,24.68222562747745,23.776353422468404,24.671150729967486,212818400,AAPL
2015-01-05,23.532724380493164,24.064287433869833,23.34667824119713,23.984552891373717,257142000,AAPL
2015-01-06,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400,AAPL
2015-01-07,23.864946365356445,23.96461367890052,23.632387047364233,23.74312925787633,160423600,AAPL
2015-01-08,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000,AAPL
2015-01-09,24.808469772338867,25.083109973520873,24.409797149823067,24.954648607400006,214798000,AAPL
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200,AAPL
2015-01-13,24.41202163696289,24.98345204728374,24.121877485351757,24.68001767673524,268367600,AAPL
2015-01-14,24.318992614746094,24.471815731969652,24.031062161775676,24.1506639642499,195826400,AAPL
2015-01-15,23.658966064453125,24.376575123869163,23.62352943536436,24.36328659918488,240056000,AAPL
2015-01-16,23.47513198852539,23.827293076803485,23.300159102999938,23.705475976187053,314053200,AAPL
2015-01-20,24.07979393005371,24.135165052339598,23.58809809378822,23.88488649814015,199599600,AAPL
2015-01-21,24.26361656188965,24.598056787392125,23.98011511203048,24.130724570790218,194303600,AAPL
2015-01-22,24.894851684570312,24.91035552795961,24.301273310849446,24.420875112620685,215185600,AAPL
2015-01-23,25.0233154296875,25.193857723073517,24.702161943737746,24.872705926916115,185859200,AAPL
2015-01-26,25.049896240234375,25.328967179234155,24.983451905096164,25.191646182947018,222460000,AAPL
2015-01-27,24.172813415527344,24.91257237795925,24.14844999016091,24.899282161527914,382274800,AAPL
2015-01-28,25.539365768432617,26.16173808502866,25.539365768432617,26.053209511761636,585908400,AAPL
2015-01-29,26.33449935913086,26.398730047323408,25.59474047597541,25.76306911779753,337745600,AAPL
2015-01-30,25.949115753173828,26.57813070202149,25.880454433135018,26.223755963952947,334982000,AAPL
2015-02-02,26.274690628051758,26.3942923925535,25.709906489328255,26.14623097562396,250956400,AAPL
2015-02-03,26.279132843017578,26.376584861276278,26.048788790219216,26.245909834382662,207662800,AAPL
2015-02-04,26.480674743652344,26.691085940867783,26.20381923925721,26.245901816658677,280598800,AAPL
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800,AAPL
2015-02-06,26.445096969604492,26.73861012725943,26.338364141156898,26.687466924856036,174826400,AAPL
2015-02-09,26.620771408081055,26.647453353889304,26.33392861541217,26.360612257681876,155559200,AAPL
2015-02-10,27.1321964263916,27.161104130980192,26.71861097892877,26.720833343542093,248034000,AAPL
2015-02-11,27.76813507080078,27.77702961636251,27.238922333336244,27.29895839530153,294247200,AAPL
2015-02-12,28.119462966918945,28.34626964549883,27.921563986537944,28.030519204661367,297898000,AAPL
2015-02-13,28.257322311401367,28.30179333867826,27.93934954663485,28.30179333867826,217088800,AAPL
2015-02-17,28.424095153808594,28.65757232057261,28.22174804975162,28.34849236119064,252609600,AAPL
2015-02-18,28.621986389160156,28.635327356291665,28.339590144164582,28.379614742019832,179566800,AAPL
2015-02-19,28.56195068359375,28.69091902994298,28.535268747425526,28.568621167635808,149449600,AAPL
2015-02-20,28.795427322387695,28.795427322387695,28.473008158366138,28.59975074596782,195793600,AAPL
2015-02-23,29.573694229125977,29.573694229125977,28.831017308650956,28.91106654152942,283896400,AAPL
2015-02-24,29.38913345336914,29.707107990788316,29.16677487078217,29.560350511979465,276912400,AAPL
2015-02-25,28.637550354003906,29.26238060284484,28.4952410465807,29.253484362612532,298846800,AAPL
2015-02-26,28.9999942779541,29.100054921316598,28.15280896167224,28.63754884827877,365150000,AAPL
2015-02-27,28.56418800354004,29.033364797652414,28.51526883881378,28.90661876370081,248059200,AAPL
2015-03-02,28.704261779785156,28.968868972950617,28.528600034237698,28.739839958832356,192386800,AAPL
2015-03-03,28.76430320739746,28.799881390989704,28.481906888632807,28.67536114133918,151265200,AAPL
2015-03-04,28.58197021484375,28.80877691514904,28.533054449015793,28.706493868977883,126665200,AAPL
2015-03-05,28.10834503173828,28.628663222806804,27.963811635398883,28.590862676575895,226068400,AAPL
2015-03-06,28.150590896606445,28.76652330753673,28.074989807114648,28.55083525175208,291368400,AAPL
2015-03-09,28.270662307739258,28.810995279684807,27.808156175542326,28.452996227639467,354114000,AAPL
2015-03-10,27.685861587524414,28.288453012050585,27.52798723170783,28.108343142090717,275426400,AAPL
2015-03-11,27.181108474731445,27.743675330611506,27.152202474172537,27.73922890608748,275756000,AAPL
2015-03-12,27.672521591186523,27.77258395917488,27.045470531678525,27.19667441748349,193450800,AAPL
2015-03-13,27.481292724609375,27.883762858746906,27.2567118077468,27.661404305960183,207309200,AAPL
2015-03-16,27.78370475769043,27.78370475769043,27.32120018619715,27.54578113753917,143497200,AAPL
2015-03-17,28.248428344726562,28.310688462772674,27.93935011838267,27.99493975184684,204092400,AAPL
2015-03-18,28.566404342651367,28.71983229121008,28.099451708101018,28.23953698952777,261083600,AAPL
2015-03-19,28.35071563720703,28.739843106737325,28.328480121097527,28.62866382972867,183238000,AAPL
2015-03-20,27.99493408203125,28.550828607626592,27.83038927531166,28.517476191471744,274780400,AAPL
2015-03-23,28.286226272583008,28.428535585374448,28.13279835554253,28.266214820687726,150838800,AAPL
2015-03-24,28.17060089111328,28.4707828514936,28.14169319834328,28.290674693141913,131369200,AAPL
2015-03-25,27.43459701538086,28.19951096263978,27.43459701538086,28.13725084069286,206620800,AAPL
2015-03-26,27.625825881958008,27.76813521878184,27.261157994289306,27.29673617672582,190291600,AAPL
2015-03-27,27.405698776245117,27.728118083263375,27.330097662888065,27.69921207459066,158184800,AAPL
2015-03-30,28.09944725036621,28.106117734643387,27.572456938477448,27.58357554324668,188398800,AAPL
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400,AAPL
2015-04-01,27.62804412841797,27.82149663766878,27.372331509466417,27.75478840786898,162485600,AAPL
2015-04-02,27.865970611572266,27.91933618318835,27.614706086104803,27.801486434991567,128880400,AAPL
2015-04-06,28.317359924316406,28.352938105262208,27.64583787534428,27.67696793544134,148776000,AAPL
2015-04-07,28.019399642944336,28.488574593940104,28.01272915828701,28.38184344650085,140049200,AAPL
2015-04-08,27.928232192993164,28.106119702993404,27.788146923979166,27.983821827810612,149316800,AAPL
2015-04-09,28.141698837280273,28.14614695850273,27.719218930050666,27.983824463106682,129936000,AAPL
2015-04-10,28.261770248413086,28.286229823662996,27.852631346889225,28.006057586730154,160752000,AAPL
2015-04-13,28.206178665161133,28.588637297522965,28.15281309396547,28.54416287801489,145460400,AAPL
2015-04-14,28.083879470825195,28.30401391271499,27.997159790794043,28.239529743583486,102098400,AAPL
2015-04-15,28.19061851501465,28.268443673239815,28.019403166919286,28.10834693194571,115881600,AAPL
2015-04-16,28.054977416992188,28.261770933185833,28.04163644706391,28.07943699283474,113476000,AAPL
2015-04-17,27.739229202270508,28.04830745205387,27.674745018986492,27.917116721430638,207828000,AAPL
2015-04-20,28.37294578552246,28.48857146529368,27.83261453362563,27.921558277697777,188217200,AAPL
2015-04-21,28.219520568847656,28.50636156657248,28.166153302631102,28.484127750340228,129740400,AAPL
2015-04-22,28.599760055541992,28.655349701672606,28.088336329017185,28.237316173496495,150618000,AAPL
2015-04-23,28.833229064941406,28.999997956003867,28.493020798607734,28.528598976335616,183083600,AAPL
2015-04-24,28.968870162963867,29.04669700871143,28.73539301864322,29.015566948996813,178103600,AAPL
2015-04-27,29.495868682861328,29.60260326009858,29.162330763072063,29.420267568677325,387816800,AAPL
2015-04-28,29.031137466430664,29.916123719820707,28.8110046300183,29.898338018087145,475696000,AAPL
