Model,RMSE,MAE,R2,Direction_Accuracy
Linear Regression,0.0502709682682541,0.035109858600147884,0.0028182416782770447,0.5785288270377733
LSTM,0.05030150306302222,0.03498586855926235,-0.03459329487406193,0.5337474120082816
XGBoost,0.050717983969383776,0.035293706047915666,-0.01499473375199778,0.589662027833002
Random Forest,0.05097505445459661,0.03537185556347874,-0.025310067063816,0.5852882703777336
Polynomial Regression (deg=2),0.05556996823207067,0.03814171782223929,-0.21848481637592765,0.5081510934393638
