Date,Target
2015-03-16,0.01808740206573134
2015-03-16,0.006641183128654138
2015-03-16,0.00471414240678536
2015-03-16,0.031279878656086835
2015-03-16,0.02008176355963287
2015-03-17,0.005834562436023205
2015-03-17,0.03589582427004845
2015-03-17,0.02877700531041194
2015-03-17,-0.002755309762865865
2015-03-17,0.035741802603053374
2015-03-18,-0.011142487291630254
2015-03-18,-0.039620228882632835
2015-03-18,0.001483503236132222
2015-03-18,-0.024470403502293125
2015-03-18,-0.03193666207528867
2015-03-19,-0.015780749147891848
2015-03-19,-0.02553825794192366
2015-03-19,-5.322362533943803e-05
2015-03-19,-0.025568525274491494
2015-03-19,-0.02678248021521812
2015-03-20,-0.06603390892982808
2015-03-20,-0.020951657587749417
2015-03-20,-0.044542562373609096
2015-03-20,-0.021048532190243607
2015-03-20,-0.013098409121468091
2015-03-23,-0.006603178353583039
2015-03-23,-0.007481898002938192
2015-03-23,-0.04538396544529921
2015-03-23,-0.0013863120398027728
2015-03-23,-0.04433036119734224
2015-03-24,-0.005319610525419294
2015-03-24,-0.01783857902898034
2015-03-24,-0.03954711583030113
2015-03-24,-0.052214285091385704
2015-03-24,-0.0641978548001062
2015-03-25,-0.030881801884230176
2015-03-25,-0.017848568240885876
2015-03-25,-0.0018869876417220155
2015-03-25,-0.03453422677355089
2015-03-25,0.007051558897379628
2015-03-26,0.013338719358329199
2015-03-26,0.008692830448173705
2015-03-26,-0.022324340301775547
2015-03-26,0.0030985023692353675
2015-03-26,-0.03961747645718694
2015-03-27,0.09783786304159059
2015-03-27,-0.024392471593946752
2015-03-27,0.014156616683081547
2015-03-27,0.017487014628771336
2015-03-27,0.033265743233015455
2015-03-30,0.06653720977383792
2015-03-30,-0.00048046509183852226
2015-03-30,-0.0028487249532572756
2015-03-30,-0.029012295667954158
2015-03-30,0.013915749152909385
2015-03-31,0.024455787954905883
2015-03-31,0.10012185529229356
2015-03-31,0.009402911435713257
2015-03-31,-0.010564328075368445
2015-03-31,0.01869111685883129
2015-04-01,0.01859157593809635
2015-04-01,0.11994243180553532
2015-04-01,-0.002675257917051921
2015-04-01,0.03586666342473377
2015-04-01,0.018664677506060823
2015-04-02,0.013356381366023795
2015-04-02,0.02793823930578143
2015-04-02,0.1041885752756524
2015-04-02,0.035492143784116026
2015-04-02,0.014203620639193115
2015-04-06,0.008622064826738551
2015-04-06,0.032890212857431544
2015-04-06,0.0050538912733257835
2015-04-06,-0.003926190316299816
